x,y,z,reachable
-0.2500,-0.6500,0.7500,0
-0.2500,-0.5500,-0.4500,0
-0.2500,-0.5500,-0.3500,0
-0.2500,-0.5500,-0.2500,0
-0.2500,-0.5500,-0.1500,0
-0.2500,-0.5500,-0.0500,0
-0.2500,-0.5500,0.0500,0
-0.2500,-0.5500,0.1500,0
-0.2500,-0.5500,0.2500,0
-0.2500,-0.5500,0.3500,0
-0.2500,-0.5500,0.4500,0
-0.2500,-0.5500,0.5500,0
-0.2500,-0.5500,0.6500,0
-0.2500,-0.5500,0.7500,0
-0.2500,-0.4500,-0.4500,0
-0.2500,-0.4500,-0.3500,0
-0.2500,-0.4500,-0.2500,0
-0.2500,-0.4500,-0.1500,0
-0.2500,-0.4500,-0.0500,0
-0.2500,-0.4500,0.0500,0
-0.2500,-0.4500,0.1500,0
-0.2500,-0.4500,0.2500,0
-0.2500,-0.4500,0.3500,0
-0.2500,-0.4500,0.4500,0
-0.2500,-0.3500,-0.4500,0
-0.2500,-0.3500,-0.3500,0
-0.2500,-0.3500,-0.2500,0
-0.2500,-0.3500,-0.1500,0
-0.2500,-0.3500,-0.0500,0
-0.2500,-0.3500,0.0500,0
-0.2500,-0.3500,0.1500,0
-0.2500,-0.3500,0.2500,0
-0.2500,-0.3500,0.3500,0
-0.2500,-0.2500,-0.4500,0
-0.2500,-0.2500,-0.3500,0
-0.2500,-0.2500,-0.2500,0
-0.2500,-0.2500,-0.1500,0
-0.2500,-0.2500,-0.0500,0
-0.2500,-0.2500,0.0500,0
-0.2500,-0.2500,0.1500,0
-0.2500,-0.2500,0.2500,0
-0.2500,-0.2500,0.3500,0
-0.2500,-0.1500,-0.4500,0
-0.2500,-0.1500,-0.3500,0
-0.2500,-0.1500,-0.2500,0
-0.2500,-0.1500,-0.1500,0
-0.2500,-0.1500,-0.0500,0
-0.2500,-0.1500,0.0500,0
-0.2500,-0.1500,0.1500,0
-0.2500,-0.1500,0.2500,0
-0.2500,-0.1500,0.4500,0
-0.2500,-0.0500,-0.4500,0
-0.2500,-0.0500,-0.3500,0
-0.2500,-0.0500,-0.2500,0
-0.2500,-0.0500,-0.1500,0
-0.2500,-0.0500,-0.0500,0
-0.2500,-0.0500,0.0500,0
-0.2500,-0.0500,0.1500,0
-0.2500,-0.0500,0.2500,0
-0.2500,-0.0500,0.3500,0
-0.2500,-0.0500,0.4500,0
-0.2500,-0.0500,0.6500,0
-0.2500,0.0500,-0.4500,0
-0.2500,0.0500,-0.3500,0
-0.2500,0.0500,-0.2500,0
-0.2500,0.0500,-0.1500,0
-0.2500,0.0500,-0.0500,0
-0.2500,0.0500,0.0500,0
-0.2500,0.0500,0.1500,0
-0.2500,0.0500,0.2500,0
-0.2500,0.0500,0.3500,0
-0.2500,0.0500,0.4500,0
-0.2500,0.0500,0.6500,0
-0.2500,0.1500,-0.4500,0
-0.2500,0.1500,-0.3500,0
-0.2500,0.1500,-0.2500,0
-0.2500,0.1500,-0.1500,0
-0.2500,0.1500,-0.0500,0
-0.2500,0.1500,0.0500,0
-0.2500,0.1500,0.1500,0
-0.2500,0.1500,0.2500,0
-0.2500,0.1500,0.3500,0
-0.2500,0.1500,0.4500,0
-0.2500,0.1500,0.5500,0
-0.2500,0.1500,0.6500,0
-0.2500,0.1500,0.7500,0
-0.1500,-0.8500,-0.4500,0
-0.1500,-0.8500,-0.3500,0
-0.1500,-0.8500,-0.2500,0
-0.1500,-0.8500,-0.1500,0
-0.1500,-0.8500,-0.0500,0
-0.1500,-0.8500,0.0500,0
-0.1500,-0.8500,0.1500,0
-0.1500,-0.8500,0.2500,0
-0.1500,-0.8500,0.3500,0
-0.1500,-0.8500,0.4500,0
-0.1500,-0.8500,0.5500,0
-0.1500,-0.8500,0.6500,0
-0.1500,-0.8500,0.7500,0
-0.1500,-0.7500,-0.4500,0
-0.1500,-0.7500,-0.3500,0
-0.1500,-0.7500,-0.2500,0
-0.1500,-0.7500,-0.1500,0
-0.1500,-0.7500,-0.0500,0
-0.1500,-0.7500,0.0500,0
-0.1500,-0.7500,0.1500,0
-0.1500,-0.7500,0.2500,0
-0.1500,-0.7500,0.3500,0
-0.1500,-0.7500,0.4500,0
-0.1500,-0.7500,0.5500,0
-0.1500,-0.7500,0.6500,0
-0.1500,-0.7500,0.7500,0
-0.1500,-0.6500,-0.4500,0
-0.1500,-0.6500,-0.3500,0
-0.1500,-0.6500,-0.2500,0
-0.1500,-0.6500,-0.1500,0
-0.1500,-0.6500,-0.0500,0
-0.1500,-0.6500,0.0500,0
-0.1500,-0.6500,0.1500,0
-0.1500,-0.6500,0.2500,0
-0.1500,-0.6500,0.3500,0
-0.1500,-0.6500,0.4500,0
-0.1500,-0.6500,0.5500,0
-0.1500,-0.6500,0.6500,0
-0.1500,-0.6500,0.7500,0
-0.1500,-0.5500,-0.4500,0
-0.1500,-0.5500,-0.3500,0
-0.1500,-0.5500,-0.2500,0
-0.1500,-0.5500,-0.1500,0
-0.1500,-0.5500,-0.0500,0
-0.1500,-0.5500,0.0500,0
-0.1500,-0.5500,0.1500,0
-0.1500,-0.5500,0.2500,0
-0.1500,-0.5500,0.3500,0
-0.1500,-0.5500,0.4500,0
-0.1500,-0.5500,0.5500,0
-0.1500,-0.5500,0.7500,0
-0.1500,-0.4500,-0.4500,0
-0.1500,-0.4500,-0.3500,0
-0.1500,-0.4500,-0.2500,0
-0.1500,-0.4500,-0.1500,0
-0.1500,-0.4500,-0.0500,0
-0.1500,-0.4500,0.0500,0
-0.1500,-0.4500,0.1500,0
-0.1500,-0.4500,0.2500,0
-0.1500,-0.4500,0.3500,0
-0.1500,-0.3500,-0.4500,0
-0.1500,-0.3500,-0.3500,0
-0.1500,-0.3500,-0.2500,0
-0.1500,-0.3500,-0.1500,0
-0.1500,-0.3500,-0.0500,0
-0.1500,-0.3500,0.0500,0
-0.1500,-0.3500,0.1500,0
-0.1500,-0.3500,0.2500,0
-0.1500,-0.2500,-0.4500,0
-0.1500,-0.2500,-0.3500,0
-0.1500,-0.2500,-0.2500,0
-0.1500,-0.2500,-0.1500,0
-0.1500,-0.2500,-0.0500,0
-0.1500,-0.2500,0.0500,0
-0.1500,-0.2500,0.1500,0
-0.1500,-0.2500,0.2500,0
-0.1500,-0.1500,-0.4500,0
-0.1500,-0.1500,-0.3500,0
-0.1500,-0.1500,-0.2500,0
-0.1500,-0.1500,-0.1500,0
-0.1500,-0.1500,-0.0500,0
-0.1500,-0.1500,0.0500,0
-0.1500,-0.1500,0.1500,0
-0.1500,-0.1500,0.2500,0
-0.1500,-0.1500,0.3500,0
-0.1500,-0.1500,0.4500,0
-0.1500,-0.0500,-0.4500,0
-0.1500,-0.0500,-0.3500,0
-0.1500,-0.0500,-0.2500,0
-0.1500,-0.0500,-0.1500,0
-0.1500,-0.0500,-0.0500,0
-0.1500,-0.0500,0.0500,0
-0.1500,-0.0500,0.1500,0
-0.1500,-0.0500,0.2500,0
-0.1500,0.0500,-0.4500,0
-0.1500,0.0500,-0.3500,0
-0.1500,0.0500,-0.2500,0
-0.1500,0.0500,-0.1500,0
-0.1500,0.0500,-0.0500,0
-0.1500,0.0500,0.0500,0
-0.1500,0.0500,0.1500,0
-0.1500,0.0500,0.2500,0
-0.1500,0.0500,0.3500,0
-0.1500,0.0500,0.4500,0
-0.1500,0.0500,0.7500,0
-0.1500,0.1500,-0.4500,0
-0.1500,0.1500,-0.3500,0
-0.1500,0.1500,-0.2500,0
-0.1500,0.1500,-0.1500,0
-0.1500,0.1500,-0.0500,0
-0.1500,0.1500,0.0500,0
-0.1500,0.1500,0.1500,0
-0.1500,0.1500,0.2500,0
-0.1500,0.1500,0.3500,0
-0.1500,0.1500,0.4500,0
-0.1500,0.1500,0.5500,0
-0.1500,0.1500,0.6500,0
-0.1500,0.1500,0.7500,0
-0.0500,-0.8500,-0.4500,0
-0.0500,-0.8500,-0.3500,0
-0.0500,-0.8500,-0.2500,0
-0.0500,-0.8500,-0.1500,0
-0.0500,-0.8500,-0.0500,0
-0.0500,-0.8500,0.0500,0
-0.0500,-0.8500,0.1500,0
-0.0500,-0.8500,0.2500,0
-0.0500,-0.8500,0.3500,0
-0.0500,-0.8500,0.4500,0
-0.0500,-0.8500,0.5500,0
-0.0500,-0.8500,0.6500,0
-0.0500,-0.8500,0.7500,0
-0.0500,-0.7500,-0.4500,0
-0.0500,-0.7500,-0.3500,0
-0.0500,-0.7500,-0.2500,0
-0.0500,-0.7500,-0.1500,0
-0.0500,-0.7500,-0.0500,0
-0.0500,-0.7500,0.0500,0
-0.0500,-0.7500,0.1500,0
-0.0500,-0.7500,0.2500,0
-0.0500,-0.7500,0.3500,0
-0.0500,-0.7500,0.4500,0
-0.0500,-0.7500,0.5500,0
-0.0500,-0.7500,0.6500,0
-0.0500,-0.7500,0.7500,0
-0.0500,-0.6500,-0.4500,0
-0.0500,-0.6500,-0.3500,0
-0.0500,-0.6500,-0.2500,0
-0.0500,-0.6500,-0.1500,0
-0.0500,-0.6500,-0.0500,0
-0.0500,-0.6500,0.0500,0
-0.0500,-0.6500,0.1500,0
-0.0500,-0.6500,0.2500,0
-0.0500,-0.6500,0.3500,0
-0.0500,-0.6500,0.4500,0
-0.0500,-0.6500,0.5500,0
-0.0500,-0.6500,0.6500,0
-0.0500,-0.6500,0.7500,0
-0.0500,-0.5500,-0.4500,0
-0.0500,-0.5500,-0.3500,0
-0.0500,-0.5500,-0.2500,0
-0.0500,-0.5500,-0.1500,0
-0.0500,-0.5500,-0.0500,0
-0.0500,-0.5500,0.0500,0
-0.0500,-0.5500,0.1500,0
-0.0500,-0.5500,0.2500,0
-0.0500,-0.5500,0.3500,0
-0.0500,-0.5500,0.4500,0
-0.0500,-0.5500,0.5500,0
-0.0500,-0.4500,-0.4500,0
-0.0500,-0.4500,-0.3500,0
-0.0500,-0.4500,-0.2500,0
-0.0500,-0.4500,-0.1500,0
-0.0500,-0.4500,-0.0500,0
-0.0500,-0.4500,0.0500,0
-0.0500,-0.4500,0.1500,0
-0.0500,-0.4500,0.2500,0
-0.0500,-0.4500,0.3500,0
-0.0500,-0.3500,-0.4500,0
-0.0500,-0.3500,-0.3500,0
-0.0500,-0.3500,-0.2500,0
-0.0500,-0.3500,-0.1500,0
-0.0500,-0.3500,-0.0500,0
-0.0500,-0.3500,0.0500,0
-0.0500,-0.3500,0.1500,0
-0.0500,-0.3500,0.2500,0
-0.0500,-0.3500,0.4500,0
-0.0500,-0.2500,-0.4500,0
-0.0500,-0.2500,-0.3500,0
-0.0500,-0.2500,-0.2500,0
-0.0500,-0.2500,-0.1500,0
-0.0500,-0.2500,-0.0500,0
-0.0500,-0.2500,0.0500,0
-0.0500,-0.2500,0.1500,0
-0.0500,-0.2500,0.2500,0
-0.0500,-0.2500,0.4500,0
-0.0500,-0.2500,0.6500,0
-0.0500,-0.2500,0.7500,0
-0.0500,-0.1500,-0.4500,0
-0.0500,-0.1500,-0.3500,0
-0.0500,-0.1500,-0.2500,0
-0.0500,-0.1500,-0.1500,0
-0.0500,-0.1500,-0.0500,0
-0.0500,-0.1500,0.0500,0
-0.0500,-0.1500,0.1500,0
-0.0500,-0.1500,0.2500,0
-0.0500,-0.1500,0.4500,0
-0.0500,-0.1500,0.5500,0
-0.0500,-0.1500,0.6500,0
-0.0500,-0.1500,0.7500,0
-0.0500,-0.0500,-0.4500,0
-0.0500,-0.0500,-0.3500,0
-0.0500,-0.0500,-0.2500,0
-0.0500,-0.0500,-0.1500,0
-0.0500,-0.0500,-0.0500,0
-0.0500,-0.0500,0.0500,0
-0.0500,-0.0500,0.1500,0
-0.0500,-0.0500,0.2500,0
-0.0500,-0.0500,0.3500,0
-0.0500,-0.0500,0.4500,0
-0.0500,-0.0500,0.5500,0
-0.0500,-0.0500,0.6500,0
-0.0500,-0.0500,0.7500,0
-0.0500,0.0500,-0.4500,0
-0.0500,0.0500,-0.3500,0
-0.0500,0.0500,-0.2500,0
-0.0500,0.0500,-0.1500,0
-0.0500,0.0500,-0.0500,0
-0.0500,0.0500,0.0500,0
-0.0500,0.0500,0.1500,0
-0.0500,0.0500,0.2500,0
-0.0500,0.0500,0.3500,0
-0.0500,0.0500,0.4500,0
-0.0500,0.0500,0.5500,0
-0.0500,0.0500,0.6500,0
-0.0500,0.0500,0.7500,0
-0.0500,0.1500,-0.4500,0
-0.0500,0.1500,-0.3500,0
-0.0500,0.1500,-0.2500,0
-0.0500,0.1500,-0.1500,0
-0.0500,0.1500,-0.0500,0
-0.0500,0.1500,0.0500,0
-0.0500,0.1500,0.1500,0
-0.0500,0.1500,0.2500,0
-0.0500,0.1500,0.3500,0
-0.0500,0.1500,0.4500,0
-0.0500,0.1500,0.5500,0
-0.0500,0.1500,0.6500,0
-0.0500,0.1500,0.7500,0
0.0500,-0.8500,-0.4500,0
0.0500,-0.8500,-0.3500,0
0.0500,-0.8500,-0.2500,0
0.0500,-0.8500,-0.1500,0
0.0500,-0.8500,-0.0500,0
0.0500,-0.8500,0.0500,0
0.0500,-0.8500,0.1500,0
0.0500,-0.8500,0.2500,0
0.0500,-0.8500,0.3500,0
0.0500,-0.8500,0.4500,0
0.0500,-0.8500,0.5500,0
0.0500,-0.8500,0.6500,0
0.0500,-0.8500,0.7500,0
0.0500,-0.7500,-0.4500,0
0.0500,-0.7500,-0.3500,0
0.0500,-0.7500,-0.2500,0
0.0500,-0.7500,-0.1500,0
0.0500,-0.7500,-0.0500,0
0.0500,-0.7500,0.0500,0
0.0500,-0.7500,0.1500,0
0.0500,-0.7500,0.2500,0
0.0500,-0.7500,0.3500,0
0.0500,-0.7500,0.4500,0
0.0500,-0.7500,0.5500,0
0.0500,-0.7500,0.6500,0
0.0500,-0.7500,0.7500,0
0.0500,-0.6500,-0.4500,0
0.0500,-0.6500,-0.3500,0
0.0500,-0.6500,-0.2500,0
0.0500,-0.6500,-0.1500,0
0.0500,-0.6500,-0.0500,0
0.0500,-0.6500,0.0500,0
0.0500,-0.6500,0.1500,0
0.0500,-0.6500,0.2500,0
0.0500,-0.6500,0.3500,0
0.0500,-0.6500,0.4500,0
0.0500,-0.6500,0.5500,0
0.0500,-0.6500,0.6500,0
0.0500,-0.6500,0.7500,0
0.0500,-0.5500,-0.4500,0
0.0500,-0.5500,-0.3500,0
0.0500,-0.5500,-0.2500,0
0.0500,-0.5500,-0.1500,0
0.0500,-0.5500,-0.0500,0
0.0500,-0.5500,0.0500,0
0.0500,-0.5500,0.1500,0
0.0500,-0.5500,0.2500,0
0.0500,-0.5500,0.3500,0
0.0500,-0.5500,0.4500,0
0.0500,-0.5500,0.5500,0
0.0500,-0.5500,0.6500,0
0.0500,-0.4500,-0.4500,0
0.0500,-0.4500,-0.3500,0
0.0500,-0.4500,-0.2500,0
0.0500,-0.4500,-0.1500,0
0.0500,-0.4500,-0.0500,0
0.0500,-0.4500,0.0500,0
0.0500,-0.4500,0.1500,0
0.0500,-0.4500,0.2500,0
0.0500,-0.4500,0.3500,0
0.0500,-0.3500,-0.4500,0
0.0500,-0.3500,-0.3500,0
0.0500,-0.3500,-0.2500,0
0.0500,-0.3500,-0.1500,0
0.0500,-0.3500,-0.0500,0
0.0500,-0.3500,0.0500,0
0.0500,-0.3500,0.1500,0
0.0500,-0.3500,0.2500,0
0.0500,-0.2500,-0.4500,0
0.0500,-0.2500,-0.3500,0
0.0500,-0.2500,-0.2500,0
0.0500,-0.2500,-0.1500,0
0.0500,-0.2500,-0.0500,0
0.0500,-0.2500,0.0500,0
0.0500,-0.2500,0.1500,0
0.0500,-0.2500,0.2500,0
0.0500,-0.2500,0.5500,0
0.0500,-0.2500,0.6500,0
0.0500,-0.2500,0.7500,0
0.0500,-0.1500,-0.4500,0
0.0500,-0.1500,-0.3500,0
0.0500,-0.1500,-0.2500,0
0.0500,-0.1500,-0.1500,0
0.0500,-0.1500,-0.0500,0
0.0500,-0.1500,0.0500,0
0.0500,-0.1500,0.1500,0
0.0500,-0.1500,0.2500,0
0.0500,-0.1500,0.4500,0
0.0500,-0.1500,0.5500,0
0.0500,-0.1500,0.6500,0
0.0500,-0.1500,0.7500,0
0.0500,-0.0500,-0.4500,0
0.0500,-0.0500,-0.3500,0
0.0500,-0.0500,-0.2500,0
0.0500,-0.0500,-0.1500,0
0.0500,-0.0500,-0.0500,0
0.0500,-0.0500,0.0500,0
0.0500,-0.0500,0.1500,0
0.0500,-0.0500,0.2500,0
0.0500,-0.0500,0.3500,0
0.0500,-0.0500,0.4500,0
0.0500,-0.0500,0.5500,0
0.0500,-0.0500,0.6500,0
0.0500,-0.0500,0.7500,0
0.0500,0.0500,-0.4500,0
0.0500,0.0500,-0.3500,0
0.0500,0.0500,-0.2500,0
0.0500,0.0500,-0.1500,0
0.0500,0.0500,-0.0500,0
0.0500,0.0500,0.0500,0
0.0500,0.0500,0.1500,0
0.0500,0.0500,0.2500,0
0.0500,0.0500,0.3500,0
0.0500,0.0500,0.4500,0
0.0500,0.0500,0.5500,0
0.0500,0.0500,0.6500,0
0.0500,0.0500,0.7500,0
0.0500,0.1500,-0.4500,0
0.0500,0.1500,-0.3500,0
0.0500,0.1500,-0.2500,0
0.0500,0.1500,-0.1500,0
0.0500,0.1500,-0.0500,0
0.0500,0.1500,0.0500,0
0.0500,0.1500,0.1500,0
0.0500,0.1500,0.2500,0
0.0500,0.1500,0.3500,0
0.0500,0.1500,0.4500,0
0.0500,0.1500,0.5500,0
0.0500,0.1500,0.6500,0
0.0500,0.1500,0.7500,0
0.1500,-0.8500,-0.4500,0
0.1500,-0.8500,-0.3500,0
0.1500,-0.8500,-0.2500,0
0.1500,-0.8500,-0.1500,0
0.1500,-0.8500,-0.0500,0
0.1500,-0.8500,0.0500,0
0.1500,-0.8500,0.1500,0
0.1500,-0.8500,0.2500,0
0.1500,-0.8500,0.3500,0
0.1500,-0.8500,0.4500,0
0.1500,-0.8500,0.5500,0
0.1500,-0.8500,0.6500,0
0.1500,-0.8500,0.7500,0
0.1500,-0.7500,-0.4500,0
0.1500,-0.7500,-0.3500,0
0.1500,-0.7500,-0.2500,0
0.1500,-0.7500,-0.1500,0
0.1500,-0.7500,-0.0500,0
0.1500,-0.7500,0.0500,0
0.1500,-0.7500,0.1500,0
0.1500,-0.7500,0.2500,0
0.1500,-0.7500,0.3500,0
0.1500,-0.7500,0.4500,0
0.1500,-0.7500,0.5500,0
0.1500,-0.7500,0.6500,0
0.1500,-0.7500,0.7500,0
0.1500,-0.6500,-0.4500,0
0.1500,-0.6500,-0.3500,0
0.1500,-0.6500,-0.2500,0
0.1500,-0.6500,-0.1500,0
0.1500,-0.6500,-0.0500,0
0.1500,-0.6500,0.0500,0
0.1500,-0.6500,0.1500,0
0.1500,-0.6500,0.2500,0
0.1500,-0.6500,0.3500,0
0.1500,-0.6500,0.4500,0
0.1500,-0.6500,0.5500,0
0.1500,-0.6500,0.6500,0
0.1500,-0.6500,0.7500,0
0.1500,-0.5500,-0.4500,0
0.1500,-0.5500,-0.3500,0
0.1500,-0.5500,-0.2500,0
0.1500,-0.5500,-0.1500,0
0.1500,-0.5500,-0.0500,0
0.1500,-0.5500,0.0500,0
0.1500,-0.5500,0.1500,0
0.1500,-0.5500,0.2500,0
0.1500,-0.5500,0.3500,0
0.1500,-0.5500,0.4500,0
0.1500,-0.5500,0.5500,0
0.1500,-0.4500,-0.4500,0
0.1500,-0.4500,-0.3500,0
0.1500,-0.4500,-0.2500,0
0.1500,-0.4500,-0.1500,0
0.1500,-0.4500,-0.0500,0
0.1500,-0.4500,0.0500,0
0.1500,-0.4500,0.1500,0
0.1500,-0.4500,0.2500,0
0.1500,-0.4500,0.3500,0
0.1500,-0.3500,-0.4500,0
0.1500,-0.3500,-0.3500,0
0.1500,-0.3500,-0.2500,0
0.1500,-0.3500,-0.1500,0
0.1500,-0.3500,-0.0500,0
0.1500,-0.3500,0.0500,0
0.1500,-0.3500,0.1500,0
0.1500,-0.3500,0.2500,0
0.1500,-0.3500,0.3500,0
0.1500,-0.3500,0.4500,0
0.1500,-0.2500,-0.4500,0
0.1500,-0.2500,-0.3500,0
0.1500,-0.2500,-0.2500,0
0.1500,-0.2500,-0.1500,0
0.1500,-0.2500,-0.0500,0
0.1500,-0.2500,0.0500,0
0.1500,-0.2500,0.1500,0
0.1500,-0.2500,0.2500,0
0.1500,-0.2500,0.4500,0
0.1500,-0.1500,-0.4500,0
0.1500,-0.1500,-0.3500,0
0.1500,-0.1500,-0.2500,0
0.1500,-0.1500,-0.1500,0
0.1500,-0.1500,-0.0500,0
0.1500,-0.1500,0.0500,0
0.1500,-0.1500,0.1500,0
0.1500,-0.1500,0.2500,0
0.1500,-0.1500,0.3500,0
0.1500,-0.1500,0.4500,0
0.1500,-0.0500,-0.4500,0
0.1500,-0.0500,-0.3500,0
0.1500,-0.0500,-0.2500,0
0.1500,-0.0500,-0.1500,0
0.1500,-0.0500,-0.0500,0
0.1500,-0.0500,0.0500,0
0.1500,-0.0500,0.1500,0
0.1500,-0.0500,0.2500,0
0.1500,-0.0500,0.4500,0
0.1500,-0.0500,0.5500,0
0.1500,-0.0500,0.6500,0
0.1500,0.0500,-0.4500,0
0.1500,0.0500,-0.3500,0
0.1500,0.0500,-0.2500,0
0.1500,0.0500,-0.1500,0
0.1500,0.0500,-0.0500,0
0.1500,0.0500,0.0500,0
0.1500,0.0500,0.1500,0
0.1500,0.0500,0.2500,0
0.1500,0.0500,0.3500,0
0.1500,0.0500,0.4500,0
0.1500,0.0500,0.5500,0
0.1500,0.1500,-0.4500,0
0.1500,0.1500,-0.3500,0
0.1500,0.1500,-0.2500,0
0.1500,0.1500,-0.1500,0
0.1500,0.1500,-0.0500,0
0.1500,0.1500,0.0500,0
0.1500,0.1500,0.1500,0
0.1500,0.1500,0.2500,0
0.1500,0.1500,0.3500,0
0.1500,0.1500,0.4500,0
0.1500,0.1500,0.5500,0
0.1500,0.1500,0.6500,0
0.1500,0.1500,0.7500,0
0.2500,-0.8500,-0.4500,0
0.2500,-0.8500,-0.3500,0
0.2500,-0.8500,-0.2500,0
0.2500,-0.8500,-0.1500,0
0.2500,-0.8500,-0.0500,0
0.2500,-0.8500,0.0500,0
0.2500,-0.8500,0.1500,0
0.2500,-0.8500,0.2500,0
0.2500,-0.8500,0.3500,0
0.2500,-0.8500,0.4500,0
0.2500,-0.8500,0.5500,0
0.2500,-0.8500,0.6500,0
0.2500,-0.8500,0.7500,0
0.2500,-0.7500,-0.4500,0
0.2500,-0.7500,-0.3500,0
0.2500,-0.7500,-0.2500,0
0.2500,-0.7500,-0.1500,0
0.2500,-0.7500,-0.0500,0
0.2500,-0.7500,0.0500,0
0.2500,-0.7500,0.1500,0
0.2500,-0.7500,0.2500,0
0.2500,-0.7500,0.3500,0
0.2500,-0.7500,0.4500,0
0.2500,-0.7500,0.5500,0
0.2500,-0.7500,0.6500,0
0.2500,-0.7500,0.7500,0
0.2500,-0.6500,-0.4500,0
0.2500,-0.6500,-0.3500,0
0.2500,-0.6500,-0.2500,0
0.2500,-0.6500,-0.1500,0
0.2500,-0.6500,-0.0500,0
0.2500,-0.6500,0.0500,0
0.2500,-0.6500,0.1500,0
0.2500,-0.6500,0.2500,0
0.2500,-0.6500,0.3500,0
0.2500,-0.6500,0.4500,0
0.2500,-0.6500,0.5500,0
0.2500,-0.6500,0.6500,0
0.2500,-0.6500,0.7500,0
0.2500,-0.5500,-0.4500,0
0.2500,-0.5500,-0.3500,0
0.2500,-0.5500,-0.2500,0
0.2500,-0.5500,-0.1500,0
0.2500,-0.5500,-0.0500,0
0.2500,-0.5500,0.0500,0
0.2500,-0.5500,0.1500,0
0.2500,-0.5500,0.2500,0
0.2500,-0.5500,0.3500,0
0.2500,-0.5500,0.4500,0
0.2500,-0.5500,0.5500,0
0.2500,-0.5500,0.6500,0
0.2500,-0.5500,0.7500,0
0.2500,-0.4500,-0.4500,0
0.2500,-0.4500,-0.3500,0
0.2500,-0.4500,-0.2500,0
0.2500,-0.4500,-0.1500,0
0.2500,-0.4500,-0.0500,0
0.2500,-0.4500,0.0500,0
0.2500,-0.4500,0.1500,0
0.2500,-0.4500,0.2500,0
0.2500,-0.4500,0.3500,0
0.2500,-0.4500,0.4500,0
0.2500,-0.3500,-0.4500,0
0.2500,-0.3500,-0.3500,0
0.2500,-0.3500,-0.2500,0
0.2500,-0.3500,-0.1500,0
0.2500,-0.3500,-0.0500,0
0.2500,-0.3500,0.0500,0
0.2500,-0.3500,0.1500,0
0.2500,-0.3500,0.2500,0
0.2500,-0.3500,0.3500,0
0.2500,-0.2500,-0.4500,0
0.2500,-0.2500,-0.3500,0
0.2500,-0.2500,-0.2500,0
0.2500,-0.2500,-0.1500,0
0.2500,-0.2500,-0.0500,0
0.2500,-0.2500,0.0500,0
0.2500,-0.2500,0.1500,0
0.2500,-0.2500,0.2500,0
0.2500,-0.2500,0.3500,0
0.2500,-0.1500,-0.4500,0
0.2500,-0.1500,-0.3500,0
0.2500,-0.1500,-0.2500,0
0.2500,-0.1500,-0.1500,0
0.2500,-0.1500,-0.0500,0
0.2500,-0.1500,0.0500,0
0.2500,-0.1500,0.1500,0
0.2500,-0.1500,0.2500,0
0.2500,-0.1500,0.3500,0
0.2500,-0.1500,0.4500,0
0.2500,-0.1500,0.7500,0
0.2500,-0.0500,-0.4500,0
0.2500,-0.0500,-0.3500,0
0.2500,-0.0500,-0.2500,0
0.2500,-0.0500,-0.1500,0
0.2500,-0.0500,-0.0500,0
0.2500,-0.0500,0.0500,0
0.2500,-0.0500,0.1500,0
0.2500,-0.0500,0.2500,0
0.2500,-0.0500,0.3500,0
0.2500,-0.0500,0.4500,0
0.2500,0.0500,-0.4500,0
0.2500,0.0500,-0.3500,0
0.2500,0.0500,-0.2500,0
0.2500,0.0500,-0.1500,0
0.2500,0.0500,-0.0500,0
0.2500,0.0500,0.0500,0
0.2500,0.0500,0.1500,0
0.2500,0.0500,0.2500,0
0.2500,0.0500,0.3500,0
0.2500,0.0500,0.4500,0
0.2500,0.0500,0.5500,0
0.2500,0.0500,0.6500,0
0.2500,0.1500,-0.4500,0
0.2500,0.1500,-0.3500,0
0.2500,0.1500,-0.2500,0
0.2500,0.1500,-0.1500,0
0.2500,0.1500,-0.0500,0
0.2500,0.1500,0.0500,0
0.2500,0.1500,0.1500,0
0.2500,0.1500,0.2500,0
0.2500,0.1500,0.3500,0
0.2500,0.1500,0.4500,0
0.2500,0.1500,0.5500,0
0.2500,0.1500,0.6500,0
0.2500,0.1500,0.7500,0
0.3500,-0.8500,-0.4500,0
0.3500,-0.8500,-0.3500,0
0.3500,-0.8500,-0.2500,0
0.3500,-0.8500,-0.1500,0
0.3500,-0.8500,-0.0500,0
0.3500,-0.8500,0.0500,0
0.3500,-0.8500,0.1500,0
0.3500,-0.8500,0.2500,0
0.3500,-0.8500,0.3500,0
0.3500,-0.8500,0.4500,0
0.3500,-0.8500,0.5500,0
0.3500,-0.8500,0.6500,0
0.3500,-0.8500,0.7500,0
0.3500,-0.7500,-0.4500,0
0.3500,-0.7500,-0.3500,0
0.3500,-0.7500,-0.2500,0
0.3500,-0.7500,-0.1500,0
0.3500,-0.7500,-0.0500,0
0.3500,-0.7500,0.0500,0
0.3500,-0.7500,0.1500,0
0.3500,-0.7500,0.2500,0
0.3500,-0.7500,0.3500,0
0.3500,-0.7500,0.4500,0
0.3500,-0.7500,0.5500,0
0.3500,-0.7500,0.6500,0
0.3500,-0.7500,0.7500,0
0.3500,-0.6500,-0.4500,0
0.3500,-0.6500,-0.3500,0
0.3500,-0.6500,-0.2500,0
0.3500,-0.6500,-0.1500,0
0.3500,-0.6500,-0.0500,0
0.3500,-0.6500,0.0500,0
0.3500,-0.6500,0.1500,0
0.3500,-0.6500,0.2500,0
0.3500,-0.6500,0.3500,0
