t,x,y,z,success,ik_ms,total_ms,tx,ty,tz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778490176.082765,0.216,-0.295227,0.529734,0,15.4568,16.4723,0.132891,-0.201274,-0.223805,0.0006,0.5415,14.9147,250,0.05966,201.9705,201.9705,117636,0
1778490186.767488,0.219438,-0.296783,0.529041,0,22.7532,23.7088,0.136329,-0.20283,-0.224498,0.0007,0.158,22.5945,250,0.09038,131.9948,131.9948,117956,0
1778490186.818627,0.219522,-0.296866,0.528967,0,20.6694,21.3824,0.136413,-0.202913,-0.224572,0.0003,0.1097,20.5594,250,0.08224,132.0267,132.0267,117960,0
1778490186.86907,0.219564,-0.296942,0.52895,0,17.5869,18.2972,0.136455,-0.202989,-0.22459,0.0011,0.146,17.4398,250,0.06976,132.0259,132.0259,117960,0
1778490186.919167,0.219587,-0.29698,0.528935,0,18.3869,19.3135,0.136478,-0.203027,-0.224604,0.0008,0.1512,18.2349,250,0.07294,132.0236,132.0236,117964,0
1778490186.969262,0.219693,-0.297029,0.528791,0,30.2059,30.9475,0.136584,-0.203076,-0.224748,0.0006,0.1387,30.0667,250,0.12027,132.0998,132.0998,117964,0
1778490187.019378,0.219713,-0.297058,0.52875,0,24.0383,27.1891,0.136603,-0.203106,-0.224789,0.001,0.1697,23.8677,250,0.09547,132.1377,132.1377,117964,0
1778490187.069511,0.219761,-0.297111,0.528726,0,25.3004,25.6582,0.136652,-0.203158,-0.224813,0.0008,0.1637,25.1359,250,0.10054,132.1413,132.1413,117964,0
1778490187.119661,0.219714,-0.297055,0.528746,0,23.2276,23.3383,0.136605,-0.203103,-0.224793,0.0006,0.172,23.055,250,0.09222,132.154,132.154,117964,0
1778490187.169766,0.219394,-0.296842,0.528784,0,24.2022,27.2887,0.136285,-0.202889,-0.224755,0.0009,0.1629,24.0384,250,0.09615,132.2361,132.2361,117964,0
1778490187.219855,0.219138,-0.296756,0.528839,0,21.6845,22.8625,0.136029,-0.202804,-0.2247,0.0006,0.1311,21.5527,250,0.08621,132.2568,132.2568,117976,0
1778490187.270463,0.218881,-0.296632,0.528914,0,25.0962,28.7936,0.135772,-0.20268,-0.224625,0.0009,0.1312,24.9641,250,0.09986,132.2642,132.2642,117976,0
1778490187.320614,0.218821,-0.296604,0.528953,0,20.539,21.3568,0.135712,-0.202651,-0.224586,0.001,0.1481,20.39,250,0.08156,132.2425,132.2425,117980,0
1778490187.370814,0.218926,-0.296686,0.528965,0,21.0624,22.1023,0.135817,-0.202734,-0.224574,0.0011,0.168,20.8934,250,0.08357,132.1881,132.1881,117980,0
1778490187.420945,0.218998,-0.296722,0.52892,0,22.0488,22.8752,0.135889,-0.20277,-0.224619,0.0007,0.146,21.9021,250,0.08761,132.1974,132.1974,117980,0
1778490187.471159,0.219141,-0.296798,0.528849,0,23.2505,25.3349,0.136032,-0.202845,-0.22469,0.0008,0.1218,23.1278,250,0.09251,132.1986,132.1986,117984,0
1778490187.521251,0.219178,-0.296836,0.528885,0,21.2719,22.7666,0.136069,-0.202883,-0.224655,0.0006,0.1202,21.1511,250,0.0846,132.1628,132.1628,117988,0
1778490187.571337,0.219023,-0.296764,0.528986,0,24.6323,27.7109,0.135914,-0.202811,-0.224553,0.0009,0.1439,24.4875,250,0.09795,132.128,132.128,117988,0
1778490187.621438,0.218951,-0.296716,0.529067,0,21.2601,22.2414,0.135842,-0.202764,-0.224472,0.001,0.1473,21.1119,250,0.08445,132.096,132.096,117988,0
1778490187.671545,0.218977,-0.296739,0.529063,0,23.9172,24.9096,0.135868,-0.202786,-0.224477,0.0008,0.1789,23.7375,250,0.09495,132.09,132.09,117988,0
1778490187.721638,0.218934,-0.296729,0.529077,0,25.4214,29.4493,0.135825,-0.202777,-0.224462,0.0006,0.1483,25.2725,250,0.10109,132.0887,132.0887,117988,0
1778490187.771733,0.218893,-0.296667,0.529606,0,21.2639,22.1815,0.135784,-0.202714,-0.223933,0.0006,0.1517,21.1115,250,0.08445,131.6914,131.6914,117988,0
1778490187.821916,0.218908,-0.296667,0.529709,0,21.3477,22.3109,0.135799,-0.202714,-0.22383,0.001,0.1343,21.2124,250,0.08485,131.6248,131.6248,117988,0
1778490187.872037,0.21891,-0.296667,0.529721,0,22.6976,23.9248,0.135801,-0.202714,-0.223818,0.0009,0.1779,22.5188,250,0.09008,131.6255,131.6255,117988,0
1778490187.92213,0.21891,-0.296667,0.529722,0,17.9011,18.6649,0.135801,-0.202714,-0.223817,0.0008,0.147,17.7533,250,0.07101,131.6188,131.6188,117992,0
1778490187.972248,0.218432,-0.295568,0.529108,0,19.8486,23.0143,0.135323,-0.201615,-0.224431,0.001,0.1814,19.6662,250,0.07866,229.5346,229.5346,118000,0
1778490188.022337,0.218321,-0.295441,0.529099,0,21.1341,24.7072,0.135212,-0.201488,-0.22444,0.0007,0.1361,20.9973,250,0.08399,139.8466,139.8466,118000,0
1778490188.072437,0.218169,-0.295328,0.529006,0,20.8559,22.2752,0.135059,-0.201375,-0.224533,0.0008,0.1475,20.7077,250,0.08283,139.724,139.724,118000,0
1778490188.122608,0.217715,-0.294482,0.528665,0,21.924,23.0151,0.134606,-0.20053,-0.224874,0.0009,0.1793,21.7438,250,0.08698,207.8388,207.8388,118000,0
1778490188.172724,0.217359,-0.293156,0.52838,0,20.0617,20.9141,0.13425,-0.199203,-0.225159,0.0007,0.1725,19.8885,250,0.07955,211.292,211.292,118000,0
1778490188.222935,0.217567,-0.293257,0.528403,0,21.7154,23.4053,0.134458,-0.199305,-0.225136,0.0009,0.1586,21.5559,250,0.08622,211.7564,211.7564,118008,0
1778490188.273122,0.217934,-0.293454,0.528398,0,22.4236,23.4039,0.134825,-0.199501,-0.225141,0.0008,0.145,22.2778,250,0.08911,212.0037,212.0037,118008,0
1778490188.323227,0.218502,-0.293546,0.528344,0,25.174,26.5584,0.135393,-0.199593,-0.225195,0.0004,0.1025,25.071,250,0.10028,229.3662,229.3662,118008,0
1778490188.373325,0.220368,-0.292446,0.528346,0,22.7243,23.4104,0.137259,-0.198493,-0.225193,0.0008,0.1435,22.58,250,0.09032,130.941,130.941,118008,0
1778490188.424411,0.221754,-0.292394,0.528465,0,24.9463,26.555,0.138645,-0.198441,-0.225074,0.0008,0.1444,24.8011,250,0.0992,129.6224,129.6224,118016,0
1778490188.474524,0.223854,-0.292439,0.528495,0,21.1345,24.5827,0.140744,-0.198487,-0.225044,0.0012,0.1495,20.9838,250,0.08394,128.6741,128.6741,118016,0
1778490188.525038,0.229824,-0.292655,0.528956,0,21.4604,24.7731,0.146715,-0.198703,-0.224583,0.0007,0.1309,21.3288,250,0.08532,127.5859,127.5859,118016,0
1778490188.575276,0.232448,-0.29277,0.528782,0,28.5418,30.9776,0.149338,-0.198818,-0.224757,0.0008,0.1251,28.4159,250,0.11366,127.266,127.266,118020,0
1778490188.625367,0.235135,-0.293006,0.528638,0,24.3952,27.7331,0.152026,-0.199053,-0.224901,0.0003,0.0876,24.3074,250,0.09723,126.1546,126.1546,118020,0
1778490188.675531,0.237381,-0.293336,0.528375,0,27.6586,31.5221,0.154272,-0.199383,-0.225164,0.001,0.1649,27.4928,250,0.10997,148.5937,148.5937,118020,0
1778490188.725627,0.24205,-0.293708,0.527324,0,20.9069,22.4572,0.15894,-0.199755,-0.226215,0.0006,0.2459,20.6604,250,0.08264,150.0461,150.0461,118020,0
1778490188.775722,0.2443,-0.29396,0.526965,0,18.6485,19.2707,0.161191,-0.200007,-0.226574,0.0009,0.2027,18.445,250,0.07378,150.4054,150.4054,118020,0
1778490188.825793,0.246931,-0.294335,0.526686,0,21.0964,22.0143,0.163822,-0.200382,-0.226853,0.0006,0.1185,20.9774,250,0.08391,151.1382,151.1382,118024,0
1778490188.875857,0.249338,-0.294504,0.526449,0,19.7471,21.1339,0.166229,-0.200551,-0.22709,0.0008,0.169,19.5773,250,0.07831,151.72,151.72,118024,0
1778490188.926376,0.252737,-0.29402,0.525699,0,22.5014,24.9589,0.169627,-0.200068,-0.22784,0.0009,0.1527,22.3479,250,0.08939,152.9333,152.9333,118024,0
1778490188.976462,0.253875,-0.29334,0.525445,0,20.7604,23.9604,0.170766,-0.199387,-0.228094,0.0005,0.1372,20.6227,250,0.08249,153.2532,153.2532,118024,0
1778490189.026692,0.255237,-0.29285,0.525032,0,21.0821,24.2092,0.172127,-0.198897,-0.228507,0.0008,0.164,20.9172,250,0.08367,125.7075,125.7075,118024,0
1778490189.076785,0.25641,-0.292438,0.524884,0,22.012,25.2018,0.173301,-0.198485,-0.228655,0.0006,0.1248,21.8866,250,0.08755,124.5123,124.5123,118024,0
1778490189.126848,0.257148,-0.292788,0.52544,0,23.3924,24.4682,0.174038,-0.198835,-0.228099,0.0005,0.134,23.2578,250,0.09303,122.1679,122.1679,118024,0
1778490189.176997,0.258344,-0.293378,0.525305,0,20.8271,21.7941,0.175235,-0.199425,-0.228234,0.0008,0.1505,20.6757,250,0.0827,123.43,123.43,118024,0
1778490189.227096,0.258819,-0.294548,0.525291,0,21.1035,22.0641,0.175709,-0.200595,-0.228248,0.0009,0.1694,20.9332,250,0.08373,123.756,123.756,119308,0
1778490189.277208,0.2582,-0.295782,0.525638,0,21.284,22.3538,0.17509,-0.201829,-0.227901,0.001,0.1723,21.1108,250,0.08444,121.3853,121.3853,119316,0
1778490189.329399,0.256673,-0.298119,0.532978,0,21.4805,22.1244,0.173564,-0.204166,-0.220561,0.0008,0.1596,21.32,250,0.08528,111.5192,111.5192,119320,0
1778490189.379495,0.255822,-0.298796,0.53887,0,20.5395,21.2732,0.172713,-0.204843,-0.214669,0.0008,0.1479,20.3908,250,0.08156,104.0579,104.0579,119328,0
1778490189.429642,0.253606,-0.299535,0.547164,0,24.5424,27.4589,0.170496,-0.205582,-0.206375,0.0008,0.1788,24.3627,250,0.09745,91.501,91.501,119328,0
1778490189.479744,0.251248,-0.29936,0.555387,0,21.4204,24.6034,0.168139,-0.205407,-0.198152,0.0007,0.1618,21.258,250,0.08503,98.0157,98.0157,119328,0
1778490189.529856,0.249925,-0.299816,0.573596,0,20.1091,23.3343,0.166816,-0.205863,-0.179943,0.0008,0.1623,19.946,250,0.07978,261.1871,261.1871,119328,0
1778490189.579953,0.248206,-0.299063,0.582607,0,21.5734,22.6568,0.165097,-0.20511,-0.170932,0.0009,0.1882,21.3842,250,0.08554,55.9672,55.9672,119328,0
1778490189.630055,0.245444,-0.296788,0.592674,0,21.0735,22.3137,0.162335,-0.202835,-0.160865,0.0007,0.165,20.9078,250,0.08363,68.2884,68.2884,119328,0
1778490189.680233,0.242639,-0.294591,0.602568,0,19.2526,20.4481,0.159529,-0.200639,-0.150971,0.0007,0.1486,19.1033,250,0.07641,61.4705,61.4705,119348,0
1778490189.730685,0.23739,-0.291791,0.619863,0,22.6616,23.5078,0.15428,-0.197839,-0.133676,0.0004,0.1074,22.5538,250,0.09022,41.2986,41.2986,119352,0
1778490189.7809,0.234532,-0.289999,0.629018,0,17.3914,18.3905,0.151423,-0.196046,-0.124522,0.0008,0.1612,17.2294,250,0.06892,32.6022,32.6022,119352,0
1778490189.831026,0.232205,-0.288423,0.636901,0,22.8272,24.8269,0.149096,-0.19447,-0.116638,0.0007,0.1686,22.6579,250,0.09063,25.5654,25.5654,119352,0
1778490189.881105,0.232953,-0.288446,0.645248,1,25.1741,28.8466,0.149844,-0.194493,-0.108291,0.0008,0.1215,25.0518,250,0.10021,8.8895,8.8895,119352,0
1778490189.931256,0.232961,-0.287654,0.65,1,21.885,24.8809,0.149852,-0.193701,-0.092797,0.0008,0.1619,21.7223,250,0.08689,7.7743,7.7743,119352,0
1778490189.981341,0.233175,-0.287349,0.65,0,20.8712,22.0162,0.150066,-0.193397,-0.08701,0.0007,0.1486,20.7219,250,0.08289,10.0926,10.0926,119352,0
1778490190.031427,0.232969,-0.28693,0.65,0,22.0286,23.3768,0.14986,-0.192977,-0.081245,0.0008,0.1438,21.884,250,0.08754,11.4469,11.4469,119356,0
1778490190.081527,0.232544,-0.286873,0.65,0,20.9071,22.2086,0.149435,-0.19292,-0.075861,0.001,0.1495,20.7566,250,0.08303,12.9767,12.9767,119364,0
1778490190.131606,0.232263,-0.286993,0.65,0,23.0605,23.7561,0.149153,-0.19304,-0.066575,0.0006,0.1179,22.9421,250,0.09177,16.393,16.393,119364,0
1778490190.181678,0.23172,-0.286929,0.65,0,19.2124,20.3443,0.14861,-0.192976,-0.061546,0.0005,0.1472,19.0646,250,0.07626,18.3031,18.3031,119364,0
1778490190.231766,0.231311,-0.286864,0.65,0,23.6083,24.8344,0.148201,-0.192911,-0.057438,0.0008,0.1353,23.4722,250,0.09389,20.3951,20.3951,119364,0
1778490190.281853,0.23068,-0.286355,0.65,0,20.9991,21.6039,0.147571,-0.192403,-0.054116,0.0005,0.1432,20.8555,250,0.08342,22.1981,22.1981,119364,0
1778490190.331928,0.2276,-0.284428,0.65,0,19.5432,20.3723,0.144491,-0.190475,-0.049167,0.0007,0.1296,19.4128,250,0.07765,24.9486,24.9486,119364,0
1778490190.382024,0.227382,-0.284178,0.65,0,21.412,23.0528,0.144273,-0.190225,-0.048594,0.0007,0.1233,21.2879,250,0.08515,25.7588,25.7588,119368,0
1778490190.432125,0.227351,-0.284039,0.65,0,24.2482,24.3809,0.144242,-0.190086,-0.048458,0.0003,0.0922,24.1556,250,0.09662,26.2494,26.2494,119368,0
1778490190.482242,0.22731,-0.283896,0.65,0,20.7096,23.5448,0.144201,-0.189943,-0.048528,0.0008,0.149,20.5598,250,0.08224,26.3308,26.3308,119368,0
1778490190.532344,0.227537,-0.283798,0.65,0,20.1719,22.8594,0.144427,-0.189845,-0.050997,0.0006,0.1633,20.008,250,0.08003,25.6805,25.6805,119372,0
1778490190.582458,0.22835,-0.284234,0.65,0,19.3866,22.711,0.145241,-0.190281,-0.052502,0.0006,0.1626,19.2234,250,0.07689,24.9586,24.9586,119372,0
1778490190.632684,0.2294,-0.284884,0.65,0,26.0055,29.6362,0.146291,-0.190931,-0.053856,0.0006,0.1468,25.8581,250,0.10343,24.6127,24.6127,119372,0
1778490190.682727,0.229959,-0.28531,0.65,0,21.9206,22.626,0.14685,-0.191357,-0.055285,0.0009,0.164,21.7558,250,0.08702,24.1573,24.1573,119372,0
1778490190.732898,0.230342,-0.285637,0.65,0,19.1568,20.2661,0.147233,-0.191684,-0.058076,0.0008,0.1474,19.0086,250,0.07603,23.4353,23.4353,119372,0
1778490190.783492,0.228452,-0.284819,0.65,0,24.1051,27.2344,0.145343,-0.190866,-0.059216,0.0009,0.1477,23.9566,250,0.09583,23.1207,23.1207,119372,0
1778490190.833847,0.22749,-0.28421,0.65,0,24.9403,26.7743,0.144381,-0.190258,-0.059697,0.0008,0.1502,24.7892,250,0.09916,22.9292,22.9292,119372,0
1778490190.883914,0.227285,-0.284115,0.65,0,21.348,22.2597,0.144176,-0.190163,-0.059669,0.0006,0.1515,21.1959,250,0.08478,22.6989,22.6989,119376,0
1778490190.933999,0.226475,-0.283802,0.65,0,24.6703,26.1155,0.143366,-0.189849,-0.060022,0.0008,0.1427,24.5268,250,0.09811,22.5903,22.5903,119376,0
1778490190.984083,0.226241,-0.283818,0.65,0,21.8907,22.6993,0.143132,-0.189866,-0.060454,0.0005,0.141,21.7491,250,0.087,22.2669,22.2669,119376,0
1778490191.034168,0.226041,-0.283774,0.65,0,19.7626,22.7035,0.142932,-0.189821,-0.060757,0.001,0.1372,19.6244,250,0.0785,22.1546,22.1546,119376,0
1778490191.08428,0.225742,-0.283692,0.65,0,21.3776,24.327,0.142632,-0.18974,-0.060886,0.0011,0.1854,21.191,250,0.08476,22.2562,22.2562,119384,0
1778490191.134355,0.224822,-0.283389,0.65,0,22.084,24.8853,0.141713,-0.189436,-0.060759,0.0005,0.121,21.9625,250,0.08785,22.2743,22.2743,119384,0
1778490191.184541,0.224446,-0.283294,0.65,0,25.1397,26.7223,0.141337,-0.189342,-0.060593,0.0005,0.0968,25.0424,250,0.10017,22.4979,22.4979,119388,0
1778490191.234719,0.224067,-0.283093,0.65,0,24.6234,25.9502,0.140958,-0.18914,-0.060464,0.0007,0.1429,24.4798,250,0.09792,22.6904,22.6904,119392,0
1778490191.284822,0.223751,-0.282926,0.65,0,18.5099,19.4369,0.140642,-0.188974,-0.060494,0.0006,0.1466,18.3627,250,0.07345,22.8546,22.8546,119392,0
1778490191.334971,0.221856,-0.282369,0.65,0,20.5388,21.3201,0.138747,-0.188416,-0.055121,0.0009,0.1631,20.3748,250,0.0815,23.4115,23.4115,119392,0
1778490191.385064,0.221906,-0.282528,0.65,0,19.704,20.4941,0.138796,-0.188575,-0.053524,0.0011,0.145,19.5579,250,0.07823,23.1852,23.1852,119392,0
1778490191.435154,0.22382,-0.28351,0.65,0,19.3006,23.1632,0.14071,-0.189557,-0.053349,0.0009,0.1491,19.1506,250,0.0766,22.6249,22.6249,119392,0
1778490191.485978,0.22754,-0.28538,0.65,0,22.9652,24.7485,0.14443,-0.191427,-0.05369,0.0009,0.1421,22.8222,250,0.09129,22.0381,22.0381,119396,0
1778490191.536752,0.225254,-0.284515,0.65,0,24.664,27.707,0.142144,-0.190562,-0.053718,0.0009,0.168,24.4951,250,0.09798,22.8729,22.8729,119396,0
1778490191.586932,0.223799,-0.28404,0.65,0,21.3597,24.3239,0.140689,-0.190087,-0.053231,0.0007,0.1719,21.1871,250,0.08475,23.0375,23.0375,119400,0
1778490191.637036,0.223208,-0.283668,0.65,0,22.3468,24.2223,0.140099,-0.189715,-0.053663,0.0008,0.1573,22.1888,250,0.08876,22.9772,22.9772,119400,0
1778490191.687127,0.222469,-0.282985,0.65,0,22.8099,24.6403,0.13936,-0.189032,-0.054289,0.0003,0.0672,22.7424,250,0.09097,23.1928,23.1928,119412,0
1778490191.737223,0.222049,-0.282645,0.65,0,25.0169,25.9842,0.138939,-0.188692,-0.054538,0.0006,0.1631,24.8532,250,0.09941,23.3474,23.3474,119416,0
1778490191.787332,0.221556,-0.282131,0.65,0,20.5661,21.415,0.138447,-0.188178,-0.054869,0.0007,0.1512,20.4143,250,0.08166,23.243,23.243,119416,0
1778490191.837403,0.221309,-0.281934,0.65,0,20.8096,21.3091,0.1382,-0.187981,-0.054971,0.0006,0.1552,20.6537,250,0.08261,23.455,23.455,119428,0
1778490191.887476,0.219725,-0.281358,0.65,0,21.1066,22.1674,0.136616,-0.187405,-0.055723,0.0006,0.1347,20.9713,250,0.08389,23.7766,23.7766,119428,0
1778490191.93866,0.219363,-0.280814,0.65,0,21.2187,22.4266,0.136254,-0.186861,-0.057944,0.0007,0.1647,21.0533,250,0.08421,23.3992,23.3992,119428,0
1778490191.989187,0.219478,-0.280358,0.65,0,22.6152,24.0375,0.136369,-0.186406,-0.061029,0.0007,0.1485,22.466,250,0.08986,22.6063,22.6063,119432,0
1778490192.039277,0.219946,-0.280058,0.65,0,19.7535,21.1877,0.136837,-0.186105,-0.06506,0.0007,0.1495,19.6033,250,0.07841,21.388,21.388,119436,0
1778490192.089371,0.224263,-0.279977,0.65,0,20.067,21.4322,0.141154,-0.186025,-0.077804,0.0007,0.1522,19.914,250,0.07966,18.1619,18.1619,119436,0
1778490192.13945,0.224911,-0.278534,0.65,0,21.485,24.64,0.141802,-0.184581,-0.087902,0.0009,0.1685,21.3155,250,0.08526,17.1966,17.1966,119436,0
1778490192.189525,0.226923,-0.27787,0.65,0,21.0432,24.4799,0.143814,-0.183917,-0.101373,0.0008,0.1386,20.9038,250,0.08362,13.5814,13.5814,119436,0
1778490192.23962,0.234079,-0.279707,0.637099,0,19.4091,22.8596,0.15097,-0.185754,-0.11644,0.001,0.1547,19.2534,250,0.07701,18.3309,18.3309,119436,0
1778490192.289733,0.24485,-0.283102,0.599084,0,21.6055,22.5536,0.161741,-0.189149,-0.154455,0.001,0.1756,21.4289,250,0.08572,41.7435,41.7435,119436,0
1778490192.339837,0.243676,-0.282826,0.582062,0,20.6682,21.6147,0.160567,-0.188873,-0.171477,0.0006,0.1581,20.5095,250,0.08204,53.4499,53.4499,119436,0
1778490192.389939,0.239785,-0.281515,0.56586,0,22.2347,23.2427,0.156676,-0.187562,-0.187679,0.0007,0.1656,22.0684,250,0.08827,67.2159,67.2159,119436,0
1778490192.44004,0.23603,-0.280293,0.553833,0,29.2609,32.9739,0.152921,-0.18634,-0.199706,0.0011,0.1635,29.0964,250,0.11639,79.8585,79.8585,119436,0
1778490192.490136,0.229174,-0.276989,0.535931,0,20.5296,21.4039,0.146065,-0.183037,-0.217608,0.001,0.1693,20.3593,250,0.08144,106.08,106.08,119436,0
1778490192.540231,0.226224,-0.275643,0.529509,0,20.3874,21.1591,0.143115,-0.181691,-0.22403,0.0008,0.1561,20.2304,250,0.08092,111.6513,111.6513,119440,0
1778490192.59033,0.22366,-0.274343,0.525603,0,21.0838,22.1083,0.140551,-0.18039,-0.227936,0.0008,0.17,20.913,250,0.08365,114.1992,114.1992,119440,0
1778490192.640432,0.221849,-0.273486,0.525486,0,21.6652,22.406,0.13874,-0.179533,-0.228053,0.0009,0.194,21.4703,250,0.08588,118.3493,118.3493,119448,0
1778490192.690509,0.219139,-0.27288,0.525345,0,19.2439,20.3322,0.13603,-0.178928,-0.228194,0.0008,0.1434,19.0998,250,0.0764,118.913,118.913,119448,0
1778490192.740688,0.21861,-0.272678,0.525037,0,22.3663,24.2194,0.135501,-0.178725,-0.228502,0.0006,0.1595,22.2061,250,0.08882,122.21,122.21,119452,0
1778490192.790865,0.218496,-0.272393,0.525039,0,19.4385,20.8144,0.135387,-0.17844,-0.2285,0.0011,0.1358,19.3016,250,0.07721,123.2322,123.2322,119452,0
1778490192.840963,0.218355,-0.271846,0.524905,0,21.6685,23.6026,0.135246,-0.177894,-0.228634,0.0011,0.169,21.4984,250,0.08599,126.6559,126.6559,119456,0
1778490192.891054,0.219451,-0.271508,0.525379,0,24.7012,27.938,0.136342,-0.177555,-0.22816,0.0007,0.1649,24.5355,250,0.09814,130.0176,130.0176,119456,0
1778490192.941222,0.220748,-0.272019,0.525714,0,25.8474,27.8168,0.137638,-0.178067,-0.227826,0.0008,0.194,25.6526,250,0.10261,129.5701,129.5701,119456,0
1778490192.991321,0.222741,-0.272987,0.525709,0,23.337,27.0472,0.139632,-0.179035,-0.22783,0.0007,0.154,23.1824,250,0.09273,129.1486,129.1486,119456,0
1778490193.041402,0.223855,-0.27351,0.52605,0,21.1847,22.8727,0.140746,-0.179558,-0.227489,0.0009,0.1592,21.0246,250,0.0841,128.3711,128.3711,119456,0
1778490193.091504,0.224402,-0.273764,0.527443,0,26.8124,28.1088,0.141293,-0.179811,-0.226096,0.0008,0.1886,26.623,250,0.10649,113.4143,113.4143,119456,0
1778490193.141604,0.226159,-0.274561,0.532396,0,20.5791,21.8809,0.14305,-0.180608,-0.221143,0.0013,0.1636,20.4142,250,0.08166,111.3977,111.3977,119456,0
1778490193.191772,0.227005,-0.274924,0.535573,0,22.6233,24.5597,0.143895,-0.180971,-0.217966,0.0006,0.1598,22.4629,250,0.08985,110.3786,110.3786,119460,0
1778490193.241858,0.230877,-0.276579,0.549308,0,23.1006,26.8445,0.147767,-0.182627,-0.204231,0.0003,0.0711,23.0292,250,0.09212,100.2162,100.2162,119460,0
1778490193.291942,0.234706,-0.27541,0.580231,0,21.4144,24.0217,0.151597,-0.181458,-0.173308,0.0007,0.1552,21.2585,250,0.08503,69.3422,69.3422,119460,0
1778490193.342048,0.240553,-0.278185,0.595384,0,21.0628,21.6951,0.157444,-0.184232,-0.158155,0.001,0.1741,20.8877,250,0.08355,57.0856,57.0856,119464,0
1778490193.392152,0.242743,-0.279343,0.611304,0,21.2375,22.4492,0.159634,-0.18539,-0.142235,0.0008,0.1788,21.058,250,0.08423,43.1231,43.1231,119468,0
1778490193.442343,0.241071,-0.278534,0.625562,0,20.3479,21.6486,0.157962,-0.184581,-0.127977,0.0009,0.169,20.1781,250,0.08071,29.4679,29.4679,119468,0
1778490193.492442,0.235385,-0.277297,0.65,1,25.3973,26.5484,0.152276,-0.183344,-0.099898,0.0003,0.1586,25.2384,250,0.10095,8.1877,8.1877,119468,0
1778490193.542661,0.233931,-0.277693,0.65,0,21.0012,21.4847,0.150822,-0.18374,-0.087781,0.0008,0.1798,20.8206,250,0.08328,10.015,10.015,119468,0
1778490193.592736,0.233323,-0.278652,0.65,0,19.4223,20.3936,0.150214,-0.1847,-0.077263,0.0008,0.1645,19.2569,250,0.07703,11.2124,11.2124,119476,0
1778490193.64284,0.231797,-0.279364,0.65,0,20.9641,24.3958,0.148688,-0.185411,-0.066867,0.0008,0.1662,20.7971,250,0.08319,12.4119,12.4119,119480,0
1778490193.692995,0.229517,-0.280074,0.65,0,21.2475,24.6087,0.146408,-0.186121,-0.054624,0.0009,0.143,21.1036,250,0.08441,17.2412,17.2412,119480,0
1778490193.74309,0.227197,-0.280344,0.65,0,21.0135,22.9087,0.144087,-0.186392,-0.046421,0.0008,0.1414,20.8713,250,0.08349,21.1633,21.1633,119480,0
1778490193.793186,0.224336,-0.279889,0.65,0,21.5017,24.3976,0.141227,-0.185937,-0.041068,0.0009,0.1497,21.3511,250,0.0854,23.5679,23.5679,119492,0
1778490193.843286,0.222265,-0.279884,0.65,0,22.1452,23.9234,0.139156,-0.185931,-0.036908,0.0007,0.166,21.9785,250,0.08791,26.0485,26.0485,119496,0
1778490193.893393,0.219955,-0.280194,0.65,0,23.1514,26.4479,0.136846,-0.186241,-0.031979,0.0004,0.1066,23.0444,250,0.09218,30.5689,30.5689,119496,0
1778490193.943492,0.218922,-0.280071,0.65,0,21.677,23.2125,0.135812,-0.186119,-0.030577,0.0008,0.1544,21.5217,250,0.08609,31.5855,31.5855,119496,0
1778490193.99368,0.218184,-0.279898,0.65,0,21.5186,23.2639,0.135075,-0.185945,-0.030055,0.001,0.1501,21.3675,250,0.08547,32.0968,32.0968,119496,0
1778490194.043861,0.218158,-0.280075,0.65,0,21.6696,23.5345,0.135048,-0.186122,-0.029897,0.0007,0.1697,21.4991,250,0.086,32.6467,32.6467,119496,0
1778490194.093957,0.215045,-0.279177,0.65,0,10.0672,11.0173,0.131936,-0.185224,-0.030624,0.0006,0.1111,9.9555,250,0.03982,33.1289,33.1289,119500,0
1778490194.144046,0.214222,-0.278953,0.65,0,15.791,16.6343,0.131113,-0.185,-0.031274,0.0005,0.1205,15.67,250,0.06268,33.1252,33.1252,119500,0
1778490194.19414,0.214335,-0.279144,0.65,0,23.1772,25.2581,0.131226,-0.185192,-0.032007,0.0006,0.1296,23.0471,250,0.09219,32.9174,32.9174,119500,0
1778490194.244236,0.215113,-0.279597,0.65,0,22.399,24.3149,0.132004,-0.185644,-0.032643,0.0003,0.078,22.3208,250,0.08928,32.4712,32.4712,119512,0
1778490194.294377,0.215328,-0.279375,0.65,0,24.1817,27.5928,0.132219,-0.185423,-0.033518,0.0003,0.0982,24.0832,250,0.09633,31.9218,31.9218,119524,0
1778490194.344472,0.21541,-0.279178,0.65,0,22.2654,25.9944,0.132301,-0.185226,-0.033788,0.0009,0.1459,22.1186,250,0.08847,31.7137,31.7137,119524,0
1778490194.394644,0.21588,-0.279029,0.65,0,22.0696,25.7071,0.132771,-0.185076,-0.034213,0.0007,0.1622,21.9067,250,0.08763,30.676,30.676,119528,0
1778490194.445365,0.216374,-0.277329,0.65,0,19.5244,21.2062,0.133265,-0.183377,-0.03681,0.0008,0.1504,19.3732,250,0.07749,21.1766,21.1766,119528,0
1778490194.495572,0.216906,-0.276546,0.65,0,22.8442,23.8791,0.133797,-0.182593,-0.038761,0.0008,0.1415,22.7019,250,0.09081,13.8464,13.8464,119528,0
